	CUBO	IWELBO	MAE	PSIS	a2_norm	encoder_type	eval_encoder_name	experiment
10	-16.52369201660156	-17.135025634765626	"[9.61364401e-02 9.60620057e-02 9.59427898e-02 9.56053959e-02
 9.57437913e-02 9.59980674e-02 9.58636602e-02 9.63129249e-02
 9.62785948e-02 9.63939443e-02 9.67004073e-02 9.64090203e-02
 9.63111488e-02 9.61172500e-02 9.61827676e-02 9.61184962e-02
 9.58627539e-02 9.62829258e-02 9.54014290e-02 9.66543949e-02
 9.61921574e-02 9.48890290e-02 9.23553245e-02 8.87880498e-02
 8.46408725e-02 7.76313395e-02 6.86275190e-02 5.71108425e-02
 4.34125830e-02 2.95267111e-02 1.59585330e-02 7.77867128e-03
 2.09212997e-03 3.72095611e-04 6.88091984e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.45822858022133334	0.9471667492703034	['REVKL']	Forward KL	1
11	-16.539649658203125	-17.13438903808594	"[9.28250026e-02 9.26465541e-02 9.27155624e-02 9.29255329e-02
 9.25745444e-02 9.23685969e-02 9.28590053e-02 9.29839952e-02
 9.28253652e-02 9.29421154e-02 9.36363930e-02 9.33980373e-02
 9.35486619e-02 9.36010962e-02 9.39010660e-02 9.39091341e-02
 9.34615989e-02 9.42672974e-02 9.39117756e-02 9.29025667e-02
 9.32008502e-02 9.28610154e-02 9.18177992e-02 8.85322792e-02
 8.47296606e-02 7.78562891e-02 6.93768804e-02 5.75037224e-02
 4.35946267e-02 2.82566281e-02 1.51053811e-02 7.93401631e-03
 2.39836552e-03 2.62013552e-04 4.55812547e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.19239537399460827	0.9510779080345289	['CUBO']	$\chi$	1
12	-16.520140991210937	-17.133526000976563	"[9.21296719e-02 9.20843906e-02 9.21584453e-02 9.22729432e-02
 9.24598260e-02 9.25937654e-02 9.29177015e-02 9.29088487e-02
 9.30608698e-02 9.33673782e-02 9.35041392e-02 9.45313399e-02
 9.43165101e-02 9.47145320e-02 9.38566984e-02 9.35917310e-02
 9.32307818e-02 9.38230197e-02 9.23189350e-02 9.24746556e-02
 9.10312450e-02 9.08347453e-02 8.99953449e-02 8.76791710e-02
 8.35836341e-02 7.61382630e-02 6.86553123e-02 5.48077695e-02
 4.28736196e-02 2.92084499e-02 1.59912465e-02 6.92943429e-03
 1.51849139e-03 3.20088491e-04 6.92272977e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.17175796017012088	0.9545170584377041	['CUBO']	$\chi$ (St)	1
13	-16.541343383789062	-17.13582824707031	"[9.05866512e-02 9.05433798e-02 9.06889738e-02 9.06140002e-02
 9.06698788e-02 9.06129223e-02 9.06448183e-02 9.05056639e-02
 9.06547251e-02 9.06957872e-02 9.09452034e-02 9.08881013e-02
 9.09395668e-02 9.09752643e-02 9.09398866e-02 9.12061059e-02
 9.10931157e-02 9.11936474e-02 9.08166393e-02 9.13550699e-02
 9.09228106e-02 9.00439292e-02 8.81696986e-02 8.60420970e-02
 8.16584707e-02 7.55951797e-02 6.65785490e-02 5.51397325e-02
 4.23575231e-02 2.83780625e-02 1.61418107e-02 6.65675405e-03
 1.76941747e-03 1.25588736e-04 1.45871880e-05 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.2983438811733714	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	1
14	-16.25248474121094	-17.129219970703126	"[9.06444309e-02 9.06584933e-02 9.07043244e-02 9.09085737e-02
 9.09614961e-02 9.10660806e-02 9.14510580e-02 9.11552754e-02
 9.12947634e-02 9.13243704e-02 9.10612546e-02 9.13556374e-02
 9.08009963e-02 9.09384676e-02 9.14054128e-02 9.11644570e-02
 9.11747317e-02 9.03056538e-02 8.98615910e-02 8.90450869e-02
 8.88440746e-02 8.81010643e-02 8.68548017e-02 8.42685638e-02
 7.97074723e-02 7.51440500e-02 6.88950120e-02 5.70157697e-02
 4.40084458e-02 2.97703211e-02 1.69225599e-02 8.57827295e-03
 2.92534575e-03 2.00060933e-04 6.88091984e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.55786556505903	1.5336587610369656	train	train	2
15	-16.07437805175781	-17.122158203125	"[9.75098250e-02 9.76977240e-02 9.77125227e-02 9.77500664e-02
 9.77175298e-02 9.79263472e-02 9.77541669e-02 9.80530580e-02
 9.76899105e-02 9.78199172e-02 9.71377033e-02 9.73601685e-02
 9.74478995e-02 9.81545104e-02 9.77202926e-02 9.83805835e-02
 9.83991278e-02 9.81698019e-02 9.79956889e-02 1.00030617e-01
 9.87500839e-02 9.57083755e-02 9.39351581e-02 9.10947615e-02
 8.55024589e-02 7.77276453e-02 7.15543098e-02 5.97896666e-02
 4.41976820e-02 2.89578374e-02 1.77188658e-02 7.68157035e-03
 2.11548039e-03 2.58829593e-04 6.88091984e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.583369213678778	1.6137208556491565	['ELBO']	VAE	2
16	-16.50150817871094	-17.11968505859375	"[9.50781233e-02 9.49743257e-02 9.51589886e-02 9.53955404e-02
 9.54524480e-02 9.56728548e-02 9.57946691e-02 9.57677986e-02
 9.61013561e-02 9.64841054e-02 9.64570984e-02 9.66918177e-02
 9.71173886e-02 9.79367405e-02 9.75260101e-02 9.72780587e-02
 9.80375776e-02 9.83402693e-02 9.81968823e-02 9.82148039e-02
 9.79483830e-02 9.57377762e-02 9.23260839e-02 8.83240029e-02
 8.35700380e-02 7.63786639e-02 6.60428274e-02 5.70241189e-02
 4.48401712e-02 3.12175216e-02 1.86745177e-02 7.68289294e-03
 1.99399343e-03 1.73455566e-04 6.88091984e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.3843241590304058	0.9405520470907195	['IWELBO']	IWAE	2
17	-16.413866577148436	-17.115567626953126	"[9.64445518e-02 9.66993269e-02 9.62773274e-02 9.60340336e-02
 9.63823963e-02 9.66761784e-02 9.67295015e-02 9.67351849e-02
 9.64427493e-02 9.60525155e-02 9.64739959e-02 9.58379396e-02
 9.57926339e-02 9.58377433e-02 9.54827841e-02 9.56023809e-02
 9.47051646e-02 9.43208771e-02 9.50436532e-02 9.41101904e-02
 9.22482540e-02 9.03993279e-02 8.91594581e-02 8.59687346e-02
 8.09637799e-02 7.42041917e-02 6.74931882e-02 5.94120545e-02
 4.72556200e-02 3.44940495e-02 2.34970898e-02 1.35871975e-02
 2.73278236e-03 9.16566318e-05 1.51530971e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.5030937455992127	1.0911690573897612	['REVKL']	Forward KL	2
18	-16.5040185546875	-17.122337646484375	"[9.43451240e-02 9.41814876e-02 9.40396367e-02 9.38483871e-02
 9.37706027e-02 9.39717833e-02 9.41489428e-02 9.39321096e-02
 9.38548859e-02 9.35818473e-02 9.37200956e-02 9.36586249e-02
 9.37661794e-02 9.37023619e-02 9.34029697e-02 9.29091539e-02
 9.33448698e-02 9.31427300e-02 9.29446018e-02 9.29962290e-02
 9.20773203e-02 9.00509851e-02 8.85791711e-02 8.74404058e-02
 8.28716054e-02 7.79749351e-02 6.96105822e-02 5.71754082e-02
 4.17557390e-02 2.83134184e-02 1.53746576e-02 6.04512009e-03
 1.55260638e-03 1.80301211e-04 6.65649473e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.16995212986983713	0.954337124827156	['CUBO']	$\chi$	2
19	-16.477352905273438	-17.120916137695314	"[9.04410292e-02 9.04874258e-02 9.04576888e-02 9.05035181e-02
 9.05951128e-02 9.08213878e-02 9.07166324e-02 9.05611725e-02
 9.03027182e-02 9.04570705e-02 9.07482987e-02 9.03871672e-02
 9.05782878e-02 9.08105740e-02 9.12690147e-02 9.20379738e-02
 9.20573423e-02 9.14104053e-02 9.15732591e-02 9.12089459e-02
 8.97407129e-02 8.90329514e-02 8.66627451e-02 8.52642165e-02
 8.14603419e-02 7.59369875e-02 6.61705527e-02 5.52347106e-02
 4.18643901e-02 2.75415276e-02 1.48228064e-02 5.54542163e-03
 1.90198084e-03 1.56042964e-04 9.83846076e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.1678771303192739	0.953403328405291	['CUBO']	$\chi$ (St)	2
20	-16.5279736328125	-17.119326171875	"[8.96211304e-02 8.96612281e-02 8.96346997e-02 8.96622635e-02
 8.96583017e-02 8.96741637e-02 8.97733207e-02 8.98054928e-02
 8.98984464e-02 9.01906843e-02 9.03283210e-02 9.04398403e-02
 9.05142396e-02 9.07149912e-02 9.09749367e-02 9.11520669e-02
 9.11212249e-02 9.09092812e-02 9.05443412e-02 9.07603170e-02
 8.99850712e-02 8.89668481e-02 8.72511202e-02 8.39005533e-02
 7.96049888e-02 7.37310389e-02 6.55907808e-02 5.49766885e-02
 4.12743273e-02 2.76586132e-02 1.54148263e-02 5.75270997e-03
 1.45233992e-03 2.96185208e-04 1.50523373e-05 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.25449681448567774	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	2
21	-16.291576538085938	-17.131644897460937	"[9.35289905e-02 9.34545056e-02 9.35520164e-02 9.35195871e-02
 9.37022332e-02 9.37215343e-02 9.35887901e-02 9.38713108e-02
 9.38302341e-02 9.36653400e-02 9.39644777e-02 9.40573530e-02
 9.44777884e-02 9.50426098e-02 9.59289074e-02 9.56542107e-02
 9.67190889e-02 9.69548634e-02 9.72907864e-02 9.67191945e-02
 9.61744661e-02 9.36224127e-02 9.07403270e-02 8.69125791e-02
 8.19209142e-02 7.58085709e-02 6.71076824e-02 5.47284890e-02
 4.07699358e-02 2.61627878e-02 1.51995824e-02 6.55078727e-03
 1.63284853e-03 3.90953702e-04 6.88091984e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.5513647530237923	1.3830804847649596	train	train	3
22	-16.146698608398438	-17.131986083984376	"[9.97847944e-02 9.95660189e-02 9.95315458e-02 9.95380999e-02
 9.93045045e-02 9.92883483e-02 9.88120437e-02 9.84979314e-02
 9.77590103e-02 9.78316393e-02 9.76808344e-02 9.75230566e-02
 9.74673502e-02 9.69747485e-02 9.69297811e-02 9.72176479e-02
 9.70201112e-02 9.62147963e-02 9.35003743e-02 9.30775639e-02
 9.21616386e-02 9.19217023e-02 8.93865236e-02 8.60468136e-02
 8.17073136e-02 7.65273755e-02 6.91469618e-02 6.09304174e-02
 5.07958429e-02 3.93298682e-02 2.75500470e-02 1.22413037e-02
 4.31356152e-03 2.58829593e-04 6.88091984e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.5587095727367252	1.50646368570155	['ELBO']	VAE	3
23	-16.532462158203124	-17.134734497070312	"[9.24038233e-02 9.25420642e-02 9.24537447e-02 9.23000616e-02
 9.29980382e-02 9.30992258e-02 9.35224594e-02 9.34953957e-02
 9.33515457e-02 9.36402991e-02 9.35478515e-02 9.34228575e-02
 9.34119460e-02 9.35207348e-02 9.30069134e-02 9.31511712e-02
 9.32723546e-02 9.34006475e-02 9.32575030e-02 9.23123256e-02
 9.14592527e-02 8.95265752e-02 8.75431981e-02 8.52272955e-02
 7.95217879e-02 7.60345430e-02 6.52606015e-02 5.71831901e-02
 4.21867074e-02 2.90320714e-02 1.77378024e-02 8.24650423e-03
 2.72927864e-03 1.04616741e-04 2.18271657e-05 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.3612554377512881	0.9397919163545412	['IWELBO']	IWAE	3
24	-16.384542236328127	-17.13774658203125	"[9.29327009e-02 9.29928296e-02 9.26182782e-02 9.27247800e-02
 9.30620282e-02 9.31318159e-02 9.27519692e-02 9.26394598e-02
 9.28289251e-02 9.28980194e-02 9.30028598e-02 9.25906783e-02
 9.25391480e-02 9.24874125e-02 9.28084147e-02 9.33107547e-02
 9.34151353e-02 9.30883398e-02 9.31214445e-02 9.30631682e-02
 9.33592655e-02 9.22289853e-02 9.12787409e-02 8.79724266e-02
 8.50435413e-02 8.06812300e-02 7.29020360e-02 5.93183988e-02
 4.71867887e-02 3.08037763e-02 1.72027403e-02 8.17927853e-03
 2.39596366e-03 2.34364403e-04 6.88091984e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.5108523116217333	1.0109447639889078	['REVKL']	Forward KL	3
25	-16.48947021484375	-17.13350891113281	"[9.41426128e-02 9.40016561e-02 9.41672313e-02 9.42423618e-02
 9.42752575e-02 9.43320219e-02 9.43355708e-02 9.41644083e-02
 9.42286455e-02 9.41147499e-02 9.39130226e-02 9.38016601e-02
 9.42559105e-02 9.42796498e-02 9.49663425e-02 9.49193144e-02
 9.52624275e-02 9.45711773e-02 9.50691638e-02 9.53900164e-02
 9.47585458e-02 9.12146863e-02 8.94489786e-02 8.62726549e-02
 8.12471413e-02 7.58179582e-02 6.73178534e-02 5.45205140e-02
 4.14883168e-02 2.93709227e-02 1.64192793e-02 6.66249209e-03
 2.11150588e-03 2.73439534e-04 6.55577650e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.17876980360524	0.9576566662840077	['CUBO']	$\chi$	3
26	-16.516499633789063	-17.134522094726563	"[9.14529426e-02 9.14433204e-02 9.13280927e-02 9.13004226e-02
 9.14541083e-02 9.16785937e-02 9.18311930e-02 9.21584726e-02
 9.22729378e-02 9.23258395e-02 9.24984843e-02 9.22416105e-02
 9.18107735e-02 9.17943234e-02 9.14525883e-02 9.15382402e-02
 9.18630229e-02 9.24162776e-02 9.18342298e-02 9.13148829e-02
 9.15409505e-02 8.99593967e-02 8.82244743e-02 8.43135795e-02
 8.20268096e-02 7.65320009e-02 6.80330984e-02 5.66992120e-02
 4.24527736e-02 2.85164303e-02 1.50111363e-02 6.37232633e-03
 1.24257982e-03 1.85188179e-04 6.88355403e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.18060848204104227	0.9503490465583456	['CUBO']	$\chi$ (St)	3
27	-16.54282287597656	-17.135489501953124	"[8.99203133e-02 8.99756670e-02 9.00378708e-02 9.00557772e-02
 9.01172774e-02 9.02766338e-02 9.02753200e-02 9.04530761e-02
 9.05644082e-02 9.07887703e-02 9.07731625e-02 9.10332728e-02
 9.13380752e-02 9.11350723e-02 9.10175660e-02 9.10340218e-02
 9.10373046e-02 9.10528545e-02 9.07109441e-02 9.10780220e-02
 8.99728250e-02 8.87118415e-02 8.66031539e-02 8.35643087e-02
 7.91488213e-02 7.39295369e-02 6.55845933e-02 5.50506384e-02
 4.13710356e-02 2.76211429e-02 1.50666727e-02 6.83571163e-03
 1.94513701e-03 2.21408654e-04 1.77877800e-05 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.26460915670605356	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	3
28	-16.206123046875	-17.135138549804687	"[9.61885864e-02 9.61212259e-02 9.60936127e-02 9.59031474e-02
 9.57023745e-02 9.57902763e-02 9.61474563e-02 9.60651040e-02
 9.59907226e-02 9.60787810e-02 9.61312934e-02 9.60025603e-02
 9.62295173e-02 9.64072790e-02 9.61312008e-02 9.64950245e-02
 9.59278811e-02 9.49632420e-02 9.47302705e-02 9.41840907e-02
 9.42840240e-02 9.21546747e-02 8.81336030e-02 8.48776837e-02
 8.00483510e-02 7.42943256e-02 6.31312281e-02 5.36239220e-02
 4.12203589e-02 2.72958543e-02 1.66854881e-02 6.59174788e-03
 1.37176611e-03 3.09579796e-04 6.88091984e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.5646420949102785	1.4541332037301213	train	train	4
29	-16.104625244140625	-17.132720947265625	"[1.04803387e-01 1.04808651e-01 1.04754073e-01 1.04379383e-01
 1.04374965e-01 1.04366097e-01 1.04575932e-01 1.04855526e-01
 1.05311422e-01 1.05363797e-01 1.05495560e-01 1.05647633e-01
 1.05722977e-01 1.05764341e-01 1.06471172e-01 1.06439557e-01
 1.05635945e-01 1.05598529e-01 1.04291332e-01 1.03222423e-01
 1.03191677e-01 1.00311992e-01 9.75070438e-02 9.32539385e-02
 8.81545732e-02 8.32195679e-02 7.26142291e-02 5.95074670e-02
 4.37020270e-02 2.86766893e-02 2.12185682e-02 9.84426531e-03
 2.12928874e-03 2.58829593e-04 6.88091984e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.5571488256952956	1.4439883462938417	['ELBO']	VAE	4
30	-16.54738830566406	-17.127373657226563	"[9.15988487e-02 9.15563669e-02 9.16852972e-02 9.17809388e-02
 9.14821227e-02 9.17142808e-02 9.16931816e-02 9.21182734e-02
 9.21819010e-02 9.20647115e-02 9.20898960e-02 9.18352608e-02
 9.23803698e-02 9.26879871e-02 9.20812311e-02 9.24160071e-02
 9.37791512e-02 9.40996471e-02 9.36390851e-02 9.33868721e-02
 9.23446522e-02 8.99069025e-02 8.82816162e-02 8.59439926e-02
 8.19233286e-02 7.54531694e-02 6.65001703e-02 5.57358222e-02
 4.35471989e-02 2.87951369e-02 1.69908453e-02 8.16549019e-03
 1.92232418e-03 1.46249241e-04 6.87525739e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.3576132173631448	0.9404648715116375	['IWELBO']	IWAE	4
31	-16.35972412109375	-17.13152893066406	"[9.37649767e-02 9.37181167e-02 9.37898597e-02 9.37101358e-02
 9.31637732e-02 9.32827850e-02 9.33779722e-02 9.34086034e-02
 9.33660407e-02 9.37677648e-02 9.39539431e-02 9.42098802e-02
 9.45073841e-02 9.44823116e-02 9.57872382e-02 9.59510786e-02
 9.50406060e-02 9.34510022e-02 9.34601311e-02 9.27484062e-02
 9.08837962e-02 9.02430121e-02 8.98676469e-02 8.68505271e-02
 8.18436135e-02 7.36791654e-02 6.54375537e-02 5.57353797e-02
 4.15763724e-02 2.83319086e-02 1.55703143e-02 5.35883379e-03
 1.54539695e-03 2.48392653e-04 6.88091984e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.4907120071987324	0.9972427830400338	['REVKL']	Forward KL	4
