	CUBO	IWELBO
0	(-17.17745672607422, 0.03723951847831592)	(-19.24255096435547, 0.02359470890043398)
1	(-15.521338745117188, 0.05208120521471727)	(-17.241991271972655, 0.030758767806004703)
2	(-15.725617858886721, 0.03369808339066505)	(-16.913379150390625, 0.014977440813265477)
3	(-15.773510986328125, 0.02330969446107545)	(-16.903667114257814, 0.009234808395272345)
