	CUBO	IWELBO	MAE	PSIS	a2_norm	eval_encoder_name	experiment	oliv
10	-16.36818908691406	-17.140942993164064	"[1.00859062e-01 1.00502167e-01 1.00549080e-01 1.00434786e-01
 1.00311179e-01 1.00453424e-01 1.00714021e-01 1.00746279e-01
 1.00722826e-01 1.01244896e-01 1.00711538e-01 1.00898105e-01
 1.00280565e-01 1.00370106e-01 1.00631746e-01 1.01007492e-01
 1.00972166e-01 1.00935571e-01 1.01430755e-01 9.91251740e-02
 9.75306504e-02 9.71134413e-02 9.53790345e-02 8.94002343e-02
 8.67806531e-02 8.05981072e-02 6.99542534e-02 5.94666445e-02
 4.51439381e-02 3.23843394e-02 1.61479897e-02 7.94999037e-03
 4.48617874e-03 4.03508159e-04 6.88091984e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.4834157820931331	1.0091877514825045	Forward KL	1	"[[0.37453896 0.64610523 0.5030509  0.27603763 0.49535948 0.29725575]
 [0.3745082  0.59493744 0.5805537  0.24275684 0.38709906 0.36991563]
 [0.43786785 0.64726657 0.5355443  0.30507305 0.430368   0.36758652]
 ...
 [0.35820317 0.5385373  0.58680075 0.32135695 0.47954565 0.261229  ]
 [0.3624944  0.56566966 0.5085889  0.26355058 0.35594463 0.31223917]
 [0.38627198 0.60350573 0.56609184 0.31240892 0.44388387 0.3868239 ]]"
11	-16.54355712890625	-17.13930419921875	"[9.59258941e-02 9.59838283e-02 9.59719731e-02 9.57994381e-02
 9.60458249e-02 9.59619166e-02 9.60991428e-02 9.60929525e-02
 9.63371527e-02 9.63144236e-02 9.62268889e-02 9.59128328e-02
 9.60647836e-02 9.63381972e-02 9.71092365e-02 9.71431285e-02
 9.69809692e-02 9.63696796e-02 9.60190708e-02 9.53917520e-02
 9.38823257e-02 9.18159106e-02 8.98319039e-02 8.61558217e-02
 8.22346840e-02 7.44366929e-02 6.74519281e-02 5.58907685e-02
 4.19171792e-02 2.81451875e-02 1.58533696e-02 7.01563462e-03
 2.18264232e-03 3.70510259e-04 9.45488518e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.08743017031613878	0.9515706678741097	$\chi$	1	"[[0.75098836 0.75434995 0.78338486 0.4339096  1.0236796  0.5379697 ]
 [0.80952394 0.8231715  1.0160648  0.45625    0.6487677  0.5958942 ]
 [0.598928   0.781636   0.9628788  0.43726972 0.8886826  0.44333303]
 ...
 [0.700559   0.75925696 0.7490618  0.4644513  0.96626365 0.5592248 ]
 [0.62260395 0.69221145 0.77249306 0.3976831  0.92163527 0.37160978]
 [0.7702879  0.584568   0.6768632  0.43205073 0.87272006 0.5111524 ]]"
12	-16.51826599121094	-17.140369262695312	"[9.55709156e-02 9.58801873e-02 9.58796719e-02 9.59337120e-02
 9.59354630e-02 9.58135159e-02 9.58969208e-02 9.62272903e-02
 9.65150790e-02 9.67708607e-02 9.70290074e-02 9.68544494e-02
 9.71653238e-02 9.71179015e-02 9.76866906e-02 9.80988570e-02
 9.90933123e-02 9.83955898e-02 9.74802151e-02 9.66321677e-02
 9.62396573e-02 9.48315250e-02 9.27020210e-02 8.97365288e-02
 8.43390969e-02 7.72963863e-02 6.75226734e-02 5.62795627e-02
 4.32128379e-02 2.98621201e-02 1.72269838e-02 6.95373092e-03
 2.51285732e-03 3.37583238e-04 1.66094104e-05 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.14973626987611083	0.949388102072393	$\chi$ (St)	1	"[[0.7960264  0.625988   0.7864873  0.46389169 0.75708544 0.43718857]
 [0.60240203 0.44180486 0.4954201  0.37237248 1.1262772  0.6016573 ]
 [0.6199876  0.69108015 0.71964943 0.5006461  0.6407555  0.624655  ]
 ...
 [0.6800036  0.77219254 0.7392508  0.4527005  0.94489956 0.4447165 ]
 [0.7126514  0.78499913 0.71325296 0.37060398 0.5361392  0.48164183]
 [0.63116896 0.7020377  0.61910075 0.34394702 0.98657054 0.5770109 ]]"
13	-16.5368359375	-17.14178466796875	"[9.30365288e-02 9.30217404e-02 9.29878026e-02 9.29472913e-02
 9.29806462e-02 9.30061272e-02 9.31641785e-02 9.32910549e-02
 9.35320354e-02 9.37911663e-02 9.38489509e-02 9.39206849e-02
 9.39188410e-02 9.41254781e-02 9.38134719e-02 9.43229956e-02
 9.45364030e-02 9.43822222e-02 9.43718457e-02 9.37147097e-02
 9.29930547e-02 9.16774914e-02 8.93415292e-02 8.68882661e-02
 8.15294317e-02 7.58603687e-02 6.81710418e-02 5.73112594e-02
 4.46941893e-02 3.06019308e-02 1.73325706e-02 7.23708699e-03
 1.71883334e-03 2.61370042e-04 5.55571683e-05 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.2871498512069589	0.0	MsbVAEB	1	[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]
14	-16.327119140625	-17.165776977539064	"[1.01569591e-01 1.01477894e-01 1.01338625e-01 1.01427275e-01
 1.01413597e-01 1.01149048e-01 1.01070273e-01 1.01030568e-01
 1.00870341e-01 1.00946322e-01 1.01392006e-01 1.01446257e-01
 1.01659430e-01 1.01841465e-01 1.01177943e-01 1.01237920e-01
 1.00629114e-01 1.00647372e-01 9.95237562e-02 9.82612057e-02
 9.76163143e-02 9.74708659e-02 9.50897363e-02 9.08512886e-02
 8.61450270e-02 8.01220808e-02 7.10899386e-02 5.94119508e-02
 4.59388611e-02 3.19210368e-02 1.88955233e-02 6.54582229e-03
 1.81478382e-03 4.35578650e-04 6.88091984e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.5591523413787776	1.4527553454928637	train	2	"[[0.26520634 0.5642712  0.54146194 0.26614708 0.38125575 0.28240174]
 [0.27932698 0.60698193 0.5508912  0.23160078 0.3100537  0.24668361]
 [0.29493445 0.6047582  0.5130182  0.23853244 0.35315847 0.2598342 ]
 ...
 [0.24322316 0.5874931  0.52024037 0.25500494 0.35287827 0.273019  ]
 [0.21527138 0.53084207 0.4450388  0.21820532 0.3446618  0.23149313]
 [0.24574731 0.50744194 0.5181389  0.23375987 0.26632202 0.25534123]]"
15	-16.23552978515625	-17.1722607421875	"[1.00696109e-01 1.00693824e-01 1.00994538e-01 1.00901911e-01
 1.01080648e-01 1.01220005e-01 1.01181119e-01 9.94967923e-02
 9.86825378e-02 9.90669543e-02 9.94541349e-02 9.95351458e-02
 1.00069211e-01 1.00610833e-01 1.01103277e-01 1.00844181e-01
 1.00561061e-01 1.01622424e-01 1.00383184e-01 9.92853393e-02
 9.77250035e-02 9.67207962e-02 9.60710330e-02 9.11884989e-02
 8.82728537e-02 8.24697777e-02 7.36284865e-02 6.31860967e-02
 5.08235023e-02 3.43137609e-02 1.75709846e-02 7.85279115e-03
 1.71687744e-03 2.50610708e-04 6.88091984e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.5548409542240904	1.4762505381704227	VAE	2	"[[0.28457195 0.6578673  0.46114132 0.2508111  0.29171696 0.2939468 ]
 [0.28266022 0.61090887 0.49046    0.2731896  0.3383913  0.30790406]
 [0.26837003 0.6267384  0.4503306  0.26336518 0.3330198  0.30630752]
 ...
 [0.2911637  0.6612064  0.49115553 0.28440547 0.2767199  0.31509307]
 [0.26346478 0.6186091  0.47571102 0.2672335  0.3325355  0.3088897 ]
 [0.27725318 0.58042866 0.48050842 0.24352601 0.2750974  0.25742686]]"
16	-16.597017211914064	-17.17068603515625	"[9.89804681e-02 9.92013464e-02 9.93354906e-02 9.93939118e-02
 9.95587748e-02 9.95409725e-02 9.95718166e-02 9.97640329e-02
 9.99920595e-02 1.00266463e-01 1.00211665e-01 1.00586368e-01
 1.00618900e-01 1.00283950e-01 1.00415672e-01 1.00277907e-01
 9.97731443e-02 9.98211977e-02 1.00303515e-01 9.93707503e-02
 9.99538468e-02 9.87477607e-02 9.69764020e-02 9.46488379e-02
 9.09770884e-02 8.55638120e-02 7.50140727e-02 6.07406089e-02
 4.76692314e-02 3.01472382e-02 1.73050055e-02 7.35042531e-03
 2.17070256e-03 8.75173149e-04 2.65733471e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.35484268457198626	0.943126257473608	IWAE	2	"[[0.51996315 0.6287941  0.79143745 0.48457226 0.55037457 0.39635628]
 [0.6708373  0.85590947 0.99854594 0.35562986 0.54508144 0.3496433 ]
 [0.59746176 0.79762185 0.92285013 0.36391753 0.48403123 0.31828195]
 ...
 [0.49406117 0.7026355  0.63353765 0.50348437 0.51858306 0.4430776 ]
 [0.5785949  0.7423837  0.89531386 0.36061287 0.49987823 0.32289225]
 [0.62580866 0.6492436  1.2120625  0.32777655 0.6599739  0.30076203]]"
17	-16.377567138671875	-17.169744873046874	"[9.74427738e-02 9.74410439e-02 9.73160657e-02 9.72614335e-02
 9.73373887e-02 9.72633700e-02 9.74371814e-02 9.76008873e-02
 9.80370738e-02 9.79288775e-02 9.80295332e-02 9.81026512e-02
 9.80092070e-02 9.76134720e-02 9.78294881e-02 9.71335158e-02
 9.62341466e-02 9.32679216e-02 9.24364639e-02 9.25307003e-02
 9.04265709e-02 9.02954934e-02 8.85932462e-02 8.57843547e-02
 8.18578296e-02 7.56594316e-02 6.67021344e-02 5.85245532e-02
 4.61259168e-02 2.97093563e-02 1.52119190e-02 5.89727504e-03
 1.73417023e-03 2.08930968e-04 1.43891021e-05 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.48902528552630825	1.0438014187792226	Forward KL	2	"[[0.34672365 0.64188844 0.5020432  0.29024518 0.50097406 0.30130908]
 [0.43271995 0.71777177 0.4545769  0.3050182  0.4061214  0.357643  ]
 [0.33402842 0.58822006 0.48771158 0.27627677 0.4150009  0.31216192]
 ...
 [0.33550146 0.68910336 0.5760407  0.3548548  0.4832042  0.34650177]
 [0.3056399  0.572089   0.49607602 0.28971344 0.41425556 0.27518815]
 [0.38637108 0.6062221  0.4647072  0.2272751  0.36992928 0.2894599 ]]"
18	-16.573727416992188	-17.168743896484376	"[9.71159405e-02 9.70693865e-02 9.71085955e-02 9.72894460e-02
 9.72410993e-02 9.74966682e-02 9.74711723e-02 9.76699791e-02
 9.76454208e-02 9.76678569e-02 9.76847404e-02 9.78961838e-02
 9.81710553e-02 9.84931037e-02 9.89521030e-02 9.91490126e-02
 9.93306676e-02 9.90880508e-02 9.81511257e-02 9.82907227e-02
 9.64929361e-02 9.42575354e-02 9.16255960e-02 8.91413633e-02
 8.53493112e-02 7.86716856e-02 7.00132257e-02 5.96487680e-02
 4.42787831e-02 3.03342810e-02 1.43190960e-02 5.03546343e-03
 1.70042929e-03 5.72368770e-04 6.26381777e-05 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.2019074918424623	0.9509231233888076	$\chi$	2	"[[0.64260745 0.6979033  0.7411145  0.40175378 0.9938955  0.50680494]
 [0.570084   0.6383268  0.7166705  0.45464113 0.40809366 0.59189445]
 [0.5164064  0.8256235  0.6555858  0.6259979  0.55194974 0.56785834]
 ...
 [0.50719124 0.77306414 0.7513571  0.47271273 0.77466667 0.6926614 ]
 [0.3991188  0.8127057  0.63175535 0.575894   0.541621   0.5538909 ]
 [0.8098733  0.5607778  0.66439426 0.44719303 0.7758429  0.62655896]]"
19	-16.551282958984373	-17.167913818359374	"[9.38938422e-02 9.38002433e-02 9.40190506e-02 9.40354639e-02
 9.40216127e-02 9.42328566e-02 9.42606623e-02 9.41313893e-02
 9.43238368e-02 9.49266735e-02 9.51859919e-02 9.48292670e-02
 9.49105850e-02 9.48288723e-02 9.49806090e-02 9.50889232e-02
 9.46693616e-02 9.50174672e-02 9.51479067e-02 9.43126175e-02
 9.28610940e-02 9.24891135e-02 9.08452907e-02 8.76336847e-02
 8.50053866e-02 7.75593376e-02 6.99541113e-02 5.82373908e-02
 4.44385874e-02 3.04626718e-02 1.58153001e-02 6.11853918e-03
 1.63736928e-03 3.92269938e-04 1.05612514e-05 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.13169762146823116	0.9520194924578975	$\chi$ (St)	2	"[[0.70491916 1.1001756  0.9345512  0.55656374 0.9811333  0.400628  ]
 [0.82399666 0.8223434  0.7513021  0.49104738 0.54962194 0.5725245 ]
 [0.9283114  0.9407439  0.7387171  0.54067844 0.5598545  0.5996878 ]
 ...
 [0.8062422  1.0864748  0.667079   0.44305468 0.9198638  0.4703731 ]
 [1.0708246  0.86220795 0.643925   0.44659635 0.5345828  0.6018152 ]
 [0.7755392  1.1619823  1.0885755  0.5649457  0.6688873  0.38515428]]"
