	CUBO	IWELBO	MAE	PSIS	a2_norm	eval_encoder_name	experiment	v
10	-16.64474609375	-17.43185302734375	"[1.05205370e-01 1.05290845e-01 1.05338735e-01 1.04756268e-01
 1.04770077e-01 1.05034265e-01 1.05635421e-01 1.05935019e-01
 1.05948982e-01 1.05749345e-01 1.06494601e-01 1.06279702e-01
 1.06463935e-01 1.06650879e-01 1.06703383e-01 1.06027102e-01
 1.05917670e-01 1.04947390e-01 1.05182160e-01 1.03856769e-01
 1.02749871e-01 1.00399795e-01 9.82089924e-02 9.30997081e-02
 8.95398708e-02 8.07258952e-02 7.36434022e-02 6.07749817e-02
 4.64667352e-02 3.00752183e-02 1.78752658e-02 1.03883783e-02
 3.44972383e-03 3.86052493e-04 6.88091984e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.48567970400099797	1.0693040225170871	Forward KL	1	"[[0.259213   0.6807738  0.66160166 0.26727277 0.3744378  0.26973516]
 [0.25408068 0.73717386 0.54346496 0.35441926 0.50668687 0.31860167]
 [0.3781693  0.6150764  0.5165045  0.31926322 0.3926857  0.33499736]
 ...
 [0.3967674  0.6518091  0.50428635 0.33574888 0.40443388 0.30947515]
 [0.34130627 0.5905638  0.45394358 0.3154408  0.3072203  0.29573372]
 [0.29861197 0.7088587  0.54453963 0.2690915  0.357136   0.309816  ]]"
11	-16.78171630859375	-17.431755981445313	"[9.60329035e-02 9.60438799e-02 9.62472015e-02 9.62604205e-02
 9.64387789e-02 9.65307530e-02 9.67599204e-02 9.66793024e-02
 9.65659635e-02 9.63927447e-02 9.66807571e-02 9.67482192e-02
 9.61098392e-02 9.62561224e-02 9.62723151e-02 9.62559408e-02
 9.58066400e-02 9.67308978e-02 9.61216942e-02 9.64615648e-02
 9.53951541e-02 9.34556373e-02 9.08037750e-02 8.82928870e-02
 8.32584509e-02 7.65371330e-02 6.75303738e-02 5.86366804e-02
 4.60903332e-02 3.30321008e-02 1.87594197e-02 7.53101911e-03
 2.18304810e-03 1.42604537e-04 6.63878180e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.21751367605418684	0.9553919953725952	$\chi$	1	"[[0.40047526 0.9486916  0.9978435  0.5185501  0.8083822  0.37085968]
 [0.9701945  0.7713058  0.92282426 0.36968207 0.8149396  0.3162046 ]
 [0.66746724 0.6075695  1.0780301  0.4699543  0.60807294 0.46652123]
 ...
 [0.48840514 0.975074   0.83323514 0.5384043  0.74156445 0.5642431 ]
 [0.44156247 0.6635634  1.1364039  0.45311266 0.56230557 0.46265814]
 [0.49718922 0.8148205  1.0392016  0.45387188 0.47390792 0.48139405]]"
12	-16.74482177734375	-17.431539306640627	"[9.52058666e-02 9.50321569e-02 9.50774010e-02 9.50216275e-02
 9.50927573e-02 9.50514183e-02 9.46577237e-02 9.46575270e-02
 9.48906244e-02 9.51633649e-02 9.45790625e-02 9.44797733e-02
 9.45606793e-02 9.40857695e-02 9.43342191e-02 9.40368161e-02
 9.41100338e-02 9.40657506e-02 9.47636286e-02 9.40185110e-02
 9.38792812e-02 9.36345865e-02 9.24517308e-02 9.01780353e-02
 8.54296636e-02 7.96961029e-02 7.12332759e-02 6.09839286e-02
 4.97213322e-02 3.28947634e-02 1.86465465e-02 6.91567904e-03
 2.87000960e-03 3.82028304e-04 4.36515218e-05 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.18623506038017454	0.9480655337164748	$\chi$ (St)	1	"[[0.5828999  0.7612903  0.5252279  0.32423016 0.7390658  0.49705288]
 [0.55802286 0.7931013  0.5024924  0.4955601  0.5366628  0.6166593 ]
 [0.5208764  0.79308146 0.55393606 0.559031   0.93278265 0.5728543 ]
 ...
 [0.4703598  0.7586675  0.4880895  0.35811836 1.1370884  0.5405677 ]
 [0.43837532 0.80191666 0.6163957  0.49075398 0.69689214 0.5877077 ]
 [0.75559014 0.8917899  0.7002344  0.6074032  0.6532651  0.65511715]]"
13	-16.81199523925781	-17.434429931640626	"[9.34411350e-02 9.34440776e-02 9.35440723e-02 9.35640064e-02
 9.35547393e-02 9.36994214e-02 9.38106160e-02 9.38820840e-02
 9.40053145e-02 9.40247101e-02 9.40205272e-02 9.38886174e-02
 9.39023382e-02 9.39728027e-02 9.41667322e-02 9.41616903e-02
 9.38966757e-02 9.34563646e-02 9.29649610e-02 9.28471059e-02
 9.24128153e-02 9.12848998e-02 9.02382098e-02 8.64789395e-02
 8.16347960e-02 7.52649586e-02 6.82667271e-02 5.75881508e-02
 4.53019112e-02 3.00812337e-02 1.73003119e-02 6.68328422e-03
 1.84965748e-03 1.77842719e-04 5.31640238e-06 1.57849629e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.2821761608784346	0.0	MsbVAEB	1	[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]
14	-16.394805297851562	-17.139336547851563	"[9.24174291e-02 9.25407906e-02 9.28102156e-02 9.28697911e-02
 9.29533170e-02 9.31262655e-02 9.30381557e-02 9.33561758e-02
 9.33465664e-02 9.33094411e-02 9.31402250e-02 9.31624444e-02
 9.30862667e-02 9.35729029e-02 9.40529002e-02 9.37277911e-02
 9.43281304e-02 9.39698463e-02 9.36592816e-02 9.34713471e-02
 9.27850480e-02 9.07732363e-02 8.83698225e-02 8.51754306e-02
 8.04582040e-02 7.44606764e-02 6.62606058e-02 5.56745480e-02
 4.31754693e-02 2.97367363e-02 1.75491015e-02 9.58898402e-03
 1.37139566e-03 2.39137554e-04 1.31140200e-05 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.5287926418665011	1.3518029139822907	train	2	"[[0.34189603 0.61009365 0.47390592 0.29883227 0.37081963 0.3341807 ]
 [0.30964395 0.6922717  0.49679264 0.33160666 0.35174263 0.35522965]
 [0.3044096  0.6682544  0.48130628 0.29975682 0.3553164  0.33645427]
 ...
 [0.30677655 0.635851   0.4844209  0.27808458 0.3292868  0.3138178 ]
 [0.3166268  0.6263702  0.4467677  0.27988034 0.34088588 0.31710938]
 [0.2884859  0.6532306  0.5296842  0.36270165 0.34786922 0.32164443]]"
15	-16.170128173828125	-17.139962158203126	"[9.60248093e-02 9.61126481e-02 9.62908288e-02 9.63909990e-02
 9.66167089e-02 9.68127232e-02 9.68107682e-02 9.67186654e-02
 9.69669122e-02 9.68964870e-02 9.68073787e-02 9.65196551e-02
 9.61913494e-02 9.58119224e-02 9.60347307e-02 9.65491239e-02
 9.70926221e-02 9.64895522e-02 9.71631763e-02 9.63794317e-02
 9.26050419e-02 8.99976718e-02 8.70937867e-02 8.36149420e-02
 7.91467259e-02 7.08883002e-02 6.15142689e-02 5.16308022e-02
 4.02150848e-02 2.74816428e-02 1.28957971e-02 6.51372501e-03
 2.79988248e-03 2.58829593e-04 6.88091984e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.5594416419814253	1.424107765613922	VAE	2	"[[0.26532722 0.6729368  0.46946487 0.26345316 0.35326058 0.30695632]
 [0.21997608 0.77926326 0.4539514  0.30266643 0.4051604  0.3249024 ]
 [0.27256164 0.69761294 0.49994904 0.28810883 0.37295115 0.32487965]
 ...
 [0.27356252 0.6498067  0.45446476 0.2681542  0.34022516 0.3024233 ]
 [0.208249   0.62398    0.45202702 0.23381057 0.32086957 0.29683444]
 [0.23798034 0.68483573 0.39201826 0.2311047  0.33455774 0.28531468]]"
16	-16.547452392578126	-17.141461181640626	"[9.30491290e-02 9.31406006e-02 9.31193273e-02 9.31420155e-02
 9.28631138e-02 9.27342342e-02 9.30120230e-02 9.30173579e-02
 9.31398848e-02 9.30009049e-02 9.32413175e-02 9.30579988e-02
 9.35509341e-02 9.41332023e-02 9.45213434e-02 9.56039511e-02
 9.59135876e-02 9.56138851e-02 9.54126306e-02 9.52509635e-02
 9.40196555e-02 9.34312263e-02 9.06455858e-02 8.89959869e-02
 8.29016181e-02 7.73136616e-02 6.88362709e-02 5.97096951e-02
 4.50545503e-02 3.02993642e-02 1.65829882e-02 6.17373370e-03
 1.73125639e-03 4.65855428e-04 6.88091984e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.3964728876767939	0.9428776648766305	IWAE	2	"[[0.4734332  0.73186016 0.5437349  0.39033577 0.74787784 0.4810825 ]
 [0.32927585 0.540336   0.59255004 0.39718413 0.4246714  0.31011772]
 [0.42995888 0.6021049  0.68431634 0.42148873 0.60973287 0.45567173]
 ...
 [0.5724551  0.64660525 0.67254484 0.4138425  0.7417259  0.46911383]
 [0.46517214 0.64899486 0.6171552  0.33302456 0.700662   0.46534398]
 [0.35974556 0.8455088  0.65597576 0.4059084  0.5394722  0.32016185]]"
17	-16.32445251464844	-17.14470703125	"[9.19161821e-02 9.22073038e-02 9.22446414e-02 9.21239361e-02
 9.22542780e-02 9.23251517e-02 9.22422151e-02 9.20839584e-02
 9.19350913e-02 9.24565283e-02 9.29463909e-02 9.23287506e-02
 9.26335632e-02 9.26856655e-02 9.29139736e-02 9.28033359e-02
 9.25136149e-02 9.28307660e-02 9.31686669e-02 9.16520345e-02
 9.14773162e-02 9.14035809e-02 8.76848557e-02 8.49725249e-02
 8.23952714e-02 7.58000034e-02 6.96881508e-02 5.76519273e-02
 4.26069250e-02 2.90058645e-02 1.73972572e-02 7.81887009e-03
 1.87646793e-03 2.21383877e-04 6.88091984e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.517268230527569	1.1460613388472085	Forward KL	2	"[[0.31425738 0.5320453  0.7902956  0.27991486 0.5096062  0.3303893 ]
 [0.26917025 0.646804   0.61065626 0.33495608 0.42143273 0.3256612 ]
 [0.294404   0.6405212  0.6944042  0.38247776 0.43393368 0.32791483]
 ...
 [0.34331238 0.529488   0.5902422  0.2835321  0.463165   0.3318427 ]
 [0.27486432 0.62032914 0.7328882  0.35423282 0.49517283 0.27821535]
 [0.28447405 0.5395782  0.60910374 0.27563918 0.38780972 0.27555272]]"
18	-16.50877197265625	-17.141356201171874	"[9.48089551e-02 9.49472116e-02 9.48897692e-02 9.49214210e-02
 9.50295451e-02 9.49275026e-02 9.47927282e-02 9.46088437e-02
 9.51068432e-02 9.47233837e-02 9.49370687e-02 9.49169557e-02
 9.53305866e-02 9.48455798e-02 9.60445796e-02 9.56925258e-02
 9.53203264e-02 9.51141321e-02 9.47678299e-02 9.45224999e-02
 9.15325744e-02 9.15989177e-02 8.96840753e-02 8.55678802e-02
 8.15996837e-02 7.48132968e-02 6.77046180e-02 5.68220675e-02
 4.20907108e-02 2.75797471e-02 1.53108324e-02 6.56400567e-03
 1.70672449e-03 3.21686381e-04 6.87655025e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.2567995446326938	0.946574530831304	$\chi$	2	"[[0.6800606  1.3196394  0.76504505 0.4593078  0.4953412  0.4906151 ]
 [0.5110983  0.9325403  0.6029895  0.4236881  0.37871754 0.49358168]
 [0.58934253 0.79256934 0.68224174 0.51302874 0.6542244  0.5376856 ]
 ...
 [0.7759522  0.8910068  0.61610997 0.3949146  0.5930722  0.5560087 ]
 [0.5082633  1.0793991  0.6036172  0.3743409  0.66449034 0.40523311]
 [0.84757227 0.8894378  0.68232167 0.57826036 0.7049938  0.5110241 ]]"
19	-16.50010559082031	-17.1401953125	"[9.45608572e-02 9.45536328e-02 9.46058845e-02 9.47328081e-02
 9.46735100e-02 9.49167683e-02 9.48396405e-02 9.47229154e-02
 9.46749982e-02 9.49656178e-02 9.49479993e-02 9.50728397e-02
 9.52750632e-02 9.55315342e-02 9.54706167e-02 9.54025428e-02
 9.44910145e-02 9.41668104e-02 9.37046837e-02 9.29056364e-02
 9.09798175e-02 9.11154386e-02 8.96969880e-02 8.70176827e-02
 8.23816152e-02 7.59348741e-02 6.80721907e-02 5.68765234e-02
 4.30870845e-02 2.79667158e-02 1.56543507e-02 8.00300514e-03
 2.74910441e-03 9.30834276e-04 8.65964142e-05 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.1554561007352253	0.9515215372763425	$\chi$ (St)	2	"[[0.52397805 0.92413676 0.6968311  0.54279405 0.5492533  0.5917715 ]
 [0.5279592  0.90031326 0.80089    0.43597656 1.2030452  0.6800578 ]
 [0.47489896 0.7233654  0.7222167  0.40606025 0.75881714 0.6058682 ]
 ...
 [0.575573   0.7302161  0.719231   0.5076232  0.71334136 0.67404604]
 [0.46576405 0.66107994 0.69460505 0.31870282 0.77499396 0.8013162 ]
 [0.5222279  0.6785804  0.5665799  0.59387237 0.6997321  0.6745682 ]]"
