	CUBO	ELBO	IWELBO	KHAT	encoder_type	eval_encoder_name	experiment
21	-16.329462280273436	-17.659813232421875	-17.160182495117187	0.5536637166623577	train	train	3
22	-16.248751831054687	-17.785213623046875	-17.15836853027344	0.552109743223062	['ELBO']	VAE	3
23	-16.607023315429686	-18.225757446289062	-17.16303955078125	0.36295770334739724	['IWELBO']	IWAE	3
24	-16.518988037109374	-17.904221801757814	-17.16221496582031	0.46864367262731754	['REVKL']	Forward KL	3
25	-16.581795654296876	-18.982647094726563	-17.16349365234375	0.09944159589887304	['CUBO']	$\chi$	3
26	-16.553306884765625	-19.307523803710936	-17.159706420898438	0.14036154370486692	['CUBO']	$\chi$ (St)	3
27	-16.569038696289063	-18.062905883789064	-17.163140258789063	0.28024099413708775	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	3
28	-16.454454345703127	-17.806460571289062	-17.31816589355469	0.572291734689688	train	train	4
29	-16.36592224121094	-17.954051513671875	-17.319584350585938	0.5600679121751154	['ELBO']	VAE	4
30	-16.74128112792969	-18.533128662109377	-17.315284423828125	0.3441197490214366	['IWELBO']	IWAE	4
31	-16.54074951171875	-18.043637084960938	-17.32065368652344	0.4926833115658418	['REVKL']	Forward KL	4
32	-16.670970458984375	-19.232986450195312	-17.318234252929688	0.20235161966596982	['CUBO']	$\chi$	4
33	-16.7012353515625	-19.412849731445313	-17.31650634765625	0.15767830689001783	['CUBO']	$\chi$ (St)	4
34	-16.716348266601564	-18.151162109375	-17.31984802246094	0.3080672679065736	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	4
35	-16.887994995117186	-19.920966186523437	-17.961156005859376	0.534973754142432	train	train	0
36	-16.334342041015624	-19.30784362792969	-18.00461364746094	0.7274542907755739	['ELBO']	VAE	0
37	-16.82326721191406	-20.363447265625	-17.960361328125	0.4762636757802402	['IWELBO']	IWAE	0
38	-16.558895874023438	-19.517039794921875	-17.975827026367188	0.6341649829846862	['REVKL']	Forward KL	0
39	-16.8918798828125	-20.98533447265625	-17.9539697265625	0.42970333950368544	['CUBO']	$\chi$	0
40	-16.88673522949219	-21.569802856445314	-17.963604736328126	0.38852966746515827	['CUBO']	$\chi$ (St)	0
41	-16.858328857421874	-19.7766552734375	-17.965433349609373	0.4795997627248469	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	0
42	-15.644902954101562	-19.687987060546874	-16.919583129882813	0.5750480721095752	train	train	1
43	-15.023909301757813	-18.50760986328125	-16.993008422851563	0.7944442349451807	['ELBO']	VAE	1
44	-15.727142333984375	-20.102273559570314	-16.92198486328125	0.5201142077649121	['IWELBO']	IWAE	1
45	-15.32399658203125	-19.388241577148438	-16.93299072265625	0.6692018110041127	['REVKL']	Forward KL	1
46	-15.698450317382813	-20.84314453125	-16.9198291015625	0.4924263358376753	['CUBO']	$\chi$	1
47	-15.738394165039063	-20.531917114257812	-16.905916748046874	0.48089374155140246	['CUBO']	$\chi$ (St)	1
48	-15.653723754882812	-19.552108154296874	-16.912796630859376	0.5184447314435998	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	1
49	-15.733348388671875	-20.213541259765623	-16.92513366699219	0.5122125214117792	train	train	2
50	-15.027421875	-18.742295532226564	-17.000469970703126	0.7610367529321411	['ELBO']	VAE	2
51	-15.661221923828125	-19.9054638671875	-16.925891723632812	0.5455409695742643	['IWELBO']	IWAE	2
52	-15.411220092773437	-19.016845703125	-16.94720458984375	0.6465807968618624	['REVKL']	Forward KL	2
53	-15.732914428710938	-20.793687744140627	-16.928074340820313	0.48596893557384946	['CUBO']	$\chi$	2
54	-15.718270263671876	-21.024992065429686	-16.919540405273438	0.4515469539928931	['CUBO']	$\chi$ (St)	2
55	-15.686129760742187	-19.710909423828124	-16.90405029296875	0.4921376588879172	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	2
56	-15.693697509765625	-20.203640747070313	-16.926764526367187	0.532977148839711	train	train	3
57	-15.067835083007813	-18.61342712402344	-16.983804321289064	0.7730926875810185	['ELBO']	VAE	3
58	-15.776028442382813	-20.134257202148437	-16.921907348632814	0.522020301625734	['IWELBO']	IWAE	3
59	-15.317232666015625	-19.19339538574219	-16.949799194335938	0.6567212767825533	['REVKL']	Forward KL	3
60	-15.787875366210937	-21.046511840820312	-16.922111206054687	0.47663412777581693	['CUBO']	$\chi$	3
61	-15.73264404296875	-20.856622924804686	-16.92556640625	0.4682278973794578	['CUBO']	$\chi$ (St)	3
62	-15.678709716796876	-19.68683898925781	-16.920614624023436	0.4865966948037295	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	3
63	-15.924288330078125	-19.836636962890626	-16.929016723632813	0.4880669047987515	train	train	4
64	-14.991771240234375	-18.61459899902344	-17.015811767578125	0.7744038274336289	['ELBO']	VAE	4
65	-15.849227905273438	-20.336611328125	-16.92331298828125	0.4870198394992961	['IWELBO']	IWAE	4
66	-15.411111450195312	-19.194073486328126	-16.953735961914063	0.6488456371506768	['REVKL']	Forward KL	4
67	-15.849385375976562	-20.337695922851562	-16.922784423828126	0.49418875734300893	['CUBO']	$\chi$	4
68	-15.800728759765626	-22.382301635742188	-16.92955322265625	0.4025765742473471	['CUBO']	$\chi$ (St)	4
69	-15.696331787109376	-19.84824951171875	-16.92525390625	0.5057855574648404	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	4
70	-15.4694384765625	-18.95697998046875	-16.93559020996094	0.680150194453418	train	train	0
71	-14.964524536132812	-18.829303588867187	-16.977001953125	0.774616714329062	['ELBO']	VAE	0
72	-15.6831103515625	-20.151492919921875	-16.904319458007812	0.525988661646843	['IWELBO']	IWAE	0
73	-15.277156982421875	-18.846842041015623	-16.956331787109374	0.6882615447933097	['REVKL']	Forward KL	0
74	-15.680438842773437	-21.138488159179687	-16.920986938476563	0.4827674210637709	['CUBO']	$\chi$	0
75	-15.79889404296875	-21.26629150390625	-16.922980346679687	0.45854280602454206	['CUBO']	$\chi$ (St)	0
76	-15.668877563476563	-19.555067138671873	-16.926019287109376	0.4921470783604789	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	0
77	-15.395537109375	-18.763265991210936	-16.960033569335938	0.6695527381353047	train	train	1
78	-14.92758056640625	-18.91904357910156	-17.019714965820313	0.7521917376917842	['ELBO']	VAE	1
79	-15.75567138671875	-19.94296936035156	-16.931182861328125	0.5277564269835505	['IWELBO']	IWAE	1
80	-15.270275268554688	-19.087498168945313	-16.936851196289062	0.6654698941185068	['REVKL']	Forward KL	1
81	-15.74806884765625	-20.455689697265626	-16.928886108398437	0.48837847170942034	['CUBO']	$\chi$	1
82	-15.779078979492187	-20.85864990234375	-16.921748046875	0.45191372264393775	['CUBO']	$\chi$ (St)	1
83	-15.675405883789063	-19.576376953125	-16.927578735351563	0.5075599324918285	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	1
84	-16.66481689453125	-20.480660400390626	-18.41658264160156	0.7043402617007093	train	train	2
85	-16.38620849609375	-20.912197265625	-18.59034240722656	0.797836823128665	['ELBO']	VAE	2
86	-16.77333312988281	-22.10083190917969	-18.40980651855469	0.5830394148602748	['IWELBO']	IWAE	2
87	-16.64834228515625	-21.47200988769531	-18.498963623046876	0.6980058183063306	['REVKL']	Forward KL	2
88	-16.881448974609373	-22.50370544433594	-18.413447875976562	0.546221217368082	['CUBO']	$\chi$	2
89	-16.874666748046874	-22.433535766601562	-18.414592895507813	0.5791491336589303	['CUBO']	$\chi$ (St)	2
90	-16.7584765625	-21.9621240234375	-18.400272216796875	0.5555425243955298	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	2
91	-15.61015869140625	-18.82366760253906	-16.950493774414063	0.6086382566365693	train	train	3
92	-15.253518676757812	-18.904039916992186	-16.989520874023437	0.726348179096331	['ELBO']	VAE	3
93	-15.8164111328125	-20.06147705078125	-16.950517578125	0.4900845253333917	['IWELBO']	IWAE	3
94	-15.477275390625	-19.29827392578125	-16.950662231445314	0.6134441849228512	['REVKL']	Forward KL	3
95	-15.8870849609375	-20.962510986328127	-16.948167114257814	0.434504160225525	['CUBO']	$\chi$	3
96	-15.89788330078125	-21.275717163085936	-16.9471044921875	0.4194594668430765	['CUBO']	$\chi$ (St)	3
97	-15.862073364257812	-19.515339965820313	-16.947081298828124	0.4865745990362364	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	3
98	-15.225244140625	-18.853997192382813	-16.965863037109376	0.7108072652189988	train	train	4
99	-14.96989990234375	-18.766874389648436	-16.969520263671875	0.7608771338397344	['ELBO']	VAE	4
100	-15.607391357421875	-20.527407836914062	-16.931906127929686	0.5202637702834713	['IWELBO']	IWAE	4
101	-15.399711303710937	-19.50143981933594	-16.938021850585937	0.6383109691966274	['REVKL']	Forward KL	4
102	-15.777932739257812	-21.76398681640625	-16.917357788085937	0.46516967276587345	['CUBO']	$\chi$	4
103	-15.81126708984375	-21.005772705078126	-16.920172729492187	0.42661370123962084	['CUBO']	$\chi$ (St)	4
104	-15.529282836914062	-20.410169677734373	-16.92301513671875	0.516842995584011	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	4
105	-15.917363891601562	-20.4910205078125	-16.913587646484373	0.4270291525229077	train	train	0
