	CUBO	IWELBO	KHAT	a2_norm	encoder_type	eval_encoder_name	experiment
39	-15.821747436523438	-16.92159912109375	0.429238270447911	1.0284422410943788	['CUBO']	$\chi$	0
40	-15.934293212890625	-16.92288818359375	0.3996787392010873	1.0148095836283995	['CUBO']	$\chi$ (St)	0
41	-15.808135375976562	-16.912999267578126	0.45995610737616255	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	0
42	-15.758907470703125	-16.91926513671875	0.5197025164794762	1.1491978292332135	train	train	1
43	-15.088408203125	-16.988406372070312	0.7664791148753979	4.259294092918085	['ELBO']	VAE	1
44	-15.711061401367187	-16.920330810546876	0.5145906086396342	1.3063934650721025	['IWELBO']	IWAE	1
45	-15.505880737304688	-16.9406591796875	0.5969373603058236	2.0407339698153146	['REVKL']	Forward KL	1
46	-15.870472412109375	-16.9189453125	0.4455821559417809	1.0818063212176117	['CUBO']	$\chi$	1
47	-15.86618896484375	-16.919777221679688	0.4325646647984446	1.054028360934014	['CUBO']	$\chi$ (St)	1
48	-15.641096801757813	-16.912055053710937	0.5108454933086621	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	1
49	-15.524215698242188	-16.926142578125	0.5718093501322071	1.5476309502117283	train	train	2
50	-14.966841430664063	-16.993815307617187	0.7637509181280308	4.165148401911081	['ELBO']	VAE	2
51	-15.65776123046875	-16.922794189453125	0.5164442972852243	1.3343145803482557	['IWELBO']	IWAE	2
52	-15.280496826171875	-16.944691162109375	0.655875445152612	2.6255501734439015	['REVKL']	Forward KL	2
53	-15.621635131835937	-16.90754089355469	0.498029910607656	1.3015051583128712	['CUBO']	$\chi$	2
54	-15.677514038085938	-16.921986083984375	0.5098454828653902	1.411389288338435	['CUBO']	$\chi$ (St)	2
55	-15.680484619140625	-16.91806884765625	0.4931328630478112	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	2
56	-15.608727416992188	-16.918790893554686	0.5743889709177841	1.6515439363014621	train	train	3
57	-14.956944580078124	-17.02324951171875	0.7567406138189705	4.121117762384727	['ELBO']	VAE	3
58	-15.735763549804688	-16.908095092773436	0.49615314209875505	1.325071589908397	['IWELBO']	IWAE	3
59	-15.399735107421876	-16.9183935546875	0.6199666317502213	1.9569055019602126	['REVKL']	Forward KL	3
60	-15.716197509765625	-16.928814086914063	0.49154685759056577	1.2504247761326384	['CUBO']	$\chi$	3
61	-15.689115600585938	-16.913594970703127	0.4879281045947508	1.4294824931587475	['CUBO']	$\chi$ (St)	3
62	-15.625258178710938	-16.921893310546874	0.537053672625232	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	3
63	-15.860360107421876	-16.931951293945314	0.5120642853327797	1.1772953897613723	train	train	4
64	-15.002693481445313	-17.0246630859375	0.7543932452062855	4.204543651530958	['ELBO']	VAE	4
65	-15.8359375	-16.92909362792969	0.5307169662118626	1.3687554938240154	['IWELBO']	IWAE	4
66	-15.619556274414062	-16.930860595703123	0.6296334101366623	1.9514830887842671	['REVKL']	Forward KL	4
67	-15.86378173828125	-16.92748046875	0.47634275304128504	1.088633419586457	['CUBO']	$\chi$	4
68	-15.944287719726562	-16.92767517089844	0.42605989269945654	1.0516798363221689	['CUBO']	$\chi$ (St)	4
69	-15.69923095703125	-16.930392456054687	0.496029086324972	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	4
70	-15.444008178710938	-16.910816650390625	0.6564758804113073	2.08020356857815	train	train	0
71	-14.818707275390626	-16.991878051757812	0.7649798301142962	4.025553994468461	['ELBO']	VAE	0
72	-15.689251708984376	-16.92300048828125	0.4933966887515088	1.2616247307227315	['IWELBO']	IWAE	0
73	-15.314403076171875	-16.936610107421874	0.6567779027072571	2.4004281378004393	['REVKL']	Forward KL	0
74	-15.699630737304688	-16.906207275390624	0.46118204350412023	1.0659814532799252	['CUBO']	$\chi$	0
75	-15.740156860351563	-16.913056640625	0.45410974657731007	1.2782291505465566	['CUBO']	$\chi$ (St)	0
76	-15.732705688476562	-16.910964965820312	0.4971162273128008	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	0
77	-15.226619262695312	-16.94873046875	0.7150008354486371	2.8579786369795777	train	train	1
